ic_level,marker_clarity,phen_caution,mean_intervention,expected_harm,disturbance_rate,excavation_rate,avoidance_rate,mean_caution,mean_curiosity
0.15,0.08333333333333333,0.7083333333333333,0.2576495406596069,0.06436048511375997,0.0,0.0,0.47668,0.4933624296655874,0.5081478342000257
0.15,0.08333333333333333,0.75,0.24705707399544918,0.061714943044908877,0.0,0.0,0.5347,0.5141957629989208,0.5081478342000257
0.15,0.08333333333333333,0.7916666666666666,0.23646460733129152,0.059069400976057784,0.0,0.0,0.59449,0.5350290963322542,0.5081478342000257
0.15,0.08333333333333333,0.8333333333333333,0.22587214066713387,0.056423858907206706,0.0,0.0,0.65466,0.5558624296655874,0.5081478342000257
0.15,0.08333333333333333,0.875,0.21527967400297618,0.05377831683835561,0.0,0.0,0.71467,0.5766957629989208,0.5081478342000257
0.15,0.08333333333333333,0.9166666666666666,0.20468720733881848,0.051132774769504515,0.0,0.0,0.77125,0.597529096332254,0.5081478342000257
0.15,0.08333333333333333,0.9583333333333333,0.1940947406746608,0.04848723270065342,0.0,0.0,0.82215,0.6183624296655874,0.5081478342000257
0.15,0.08333333333333333,1.0,0.1835022740105031,0.04584169063180232,0.0,0.0,0.86709,0.6391957629989208,0.5081478342000257
0.15,0.125,0.0,0.435814829950739,0.10885850271183532,0.03958,7e-05,0.057,0.14294576299892076,0.5081478342000257
0.15,0.125,0.041666666666666664,0.4252223632865813,0.10621296064298423,0.02966,0.0,0.06442,0.1637790963322541,0.5081478342000257
0.15,0.125,0.08333333333333333,0.4146298966224236,0.10356741857413311,0.02103,0.0,0.07297,0.18461242966558744,0.5081478342000257
0.15,0.125,0.125,0.404037429958266,0.10092187650528203,0.01431,0.0,0.08302,0.20544576299892076,0.5081478342000257
0.15,0.125,0.16666666666666666,0.39344496329410833,0.09827633443643095,0.00897,0.0,0.09353,0.22627909633225413,0.5081478342000257
0.15,0.125,0.20833333333333331,0.38285249662995063,0.09563079236757988,0.00539,0.0,0.10613,0.2471124296655874,0.5081478342000257
0.15,0.125,0.25,0.37226002996579294,0.09298525029872877,0.00322,0.0,0.12104,0.26794576299892076,0.5081478342000257
0.15,0.125,0.29166666666666663,0.36166756330163524,0.09033970822987769,0.00185,0.0,0.13707,0.2887790963322541,0.5081478342000257
0.15,0.125,0.3333333333333333,0.35107509663747755,0.08769416616102658,0.00093,0.0,0.15585,0.3096124296655874,0.5081478342000257
0.15,0.125,0.375,0.34048262997331985,0.08504862409217549,0.00045,0.0,0.17725,0.3304457629989208,0.5081478342000257
0.15,0.125,0.41666666666666663,0.32989016330916215,0.0824030820233244,0.00014,0.0,0.20239,0.3512790963322541,0.5081478342000257
0.15,0.125,0.4583333333333333,0.31929769664500457,0.07975753995447331,2e-05,0.0,0.23032,0.3721124296655874,0.5081478342000257
0.15,0.125,0.5,0.3087052299808469,0.07711199788562222,0.0,0.0,0.2623,0.3929457629989208,0.5081478342000257
0.15,0.125,0.5416666666666666,0.2981127633166892,0.07446645581677114,0.0,0.0,0.29823,0.4137790963322541,0.5081478342000257
0.15,0.125,0.5833333333333333,0.28752029665253154,0.07182091374792005,0.0,0.0,0.33995,0.4346124296655874,0.5081478342000257
0.15,0.125,0.625,0.27692782998837384,0.06917537167906895,0.0,0.0,0.38368,0.4554457629989208,0.5081478342000257
0.15,0.125,0.6666666666666666,0.26633536332421615,0.06652982961021786,0.0,0.0,0.43301,0.4762790963322541,0.5081478342000257
0.15,0.125,0.7083333333333333,0.25574289666005845,0.06388428754136677,0.0,0.0,0.4867,0.4971124296655874,0.5081478342000257
0.15,0.125,0.75,0.24515042999590078,0.06123874547251568,0.0,0.0,0.54569,0.5179457629989208,0.5081478342000257
0.15,0.125,0.7916666666666666,0.23455796333174309,0.05859320340366459,0.0,0.0,0.60514,0.5387790963322541,0.5081478342000257
0.15,0.125,0.8333333333333333,0.22396549666758547,0.05594766133481349,0.0,0.0,0.66554,0.5596124296655874,0.5081478342000257
0.15,0.125,0.875,0.21337303000342775,0.0533021192659624,0.0,0.0,0.72533,0.5804457629989208,0.5081478342000257
0.15,0.125,0.9166666666666666,0.20278056333927008,0.05065657719711131,0.0,0.0,0.78095,0.6012790963322541,0.5081478342000257
0.15,0.125,0.9583333333333333,0.19218809667511247,0.04801103512826023,0.0,0.0,0.83075,0.6221124296655874,0.5081478342000257
0.15,0.125,1.0,0.18159563001095477,0.04536549305940914,0.0,0.0,0.87448,0.6429457629989207,0.5081478342000257
0.15,0.16666666666666666,0.0,0.43390818595119063,0.10838230513944212,0.03764,5e-05,0.05821,0.14669576299892076,0.5081478342000257
0.15,0.16666666666666666,0.041666666666666664,0.42331571928703293,0.10573676307059104,0.02805,0.0,0.06577,0.16752909633225413,0.5081478342000257
0.15,0.16666666666666666,0.08333333333333333,0.4127232526228753,0.10309122100173994,0.01967,0.0,0.07481,0.18836242966558744,0.5081478342000257
0.15,0.16666666666666666,0.125,0.4021307859587176,0.10044567893288885,0.01322,0.0,0.08486,0.20919576299892076,0.5081478342000257
0.15,0.16666666666666666,0.16666666666666666,0.3915383192945599,0.09780013686403775,0.00816,0.0,0.09586,0.23002909633225413,0.5081478342000257
0.15,0.16666666666666666,0.20833333333333331,0.3809458526304022,0.09515459479518668,0.00486,0.0,0.10877,0.2508624296655874,0.5081478342000257
0.15,0.16666666666666666,0.25,0.3703533859662445,0.09250905272633557,0.00291,0.0,0.12357,0.2716957629989208,0.5081478342000257
0.15,0.16666666666666666,0.29166666666666663,0.35976091930208687,0.08986351065748449,0.00166,0.0,0.14034,0.2925290963322541,0.5081478342000257
0.15,0.16666666666666666,0.3333333333333333,0.34916845263792917,0.0872179685886334,0.00081,0.0,0.15923,0.3133624296655874,0.5081478342000257
0.15,0.16666666666666666,0.375,0.3385759859737715,0.08457242651978229,0.00034,0.0,0.18158,0.3341957629989207,0.5081478342000257
0.15,0.16666666666666666,0.41666666666666663,0.3279835193096139,0.08192688445093121,0.00012,0.0,0.20696,0.3550290963322541,0.5081478342000257
0.15,0.16666666666666666,0.4583333333333333,0.31739105264545614,0.07928134238208012,1e-05,0.0,0.23548,0.3758624296655874,0.5081478342000257
0.15,0.16666666666666666,0.5,0.3067985859812985,0.07663580031322903,0.0,0.0,0.26839,0.3966957629989207,0.5081478342000257
0.15,0.16666666666666666,0.5416666666666666,0.29620611931714086,0.07399025824437794,0.0,0.0,0.30544,0.41752909633225405,0.5081478342000257
0.15,0.16666666666666666,0.5833333333333333,0.28561365265298316,0.07134471617552685,0.0,0.0,0.34759,0.4383624296655874,0.5081478342000257
0.15,0.16666666666666666,0.625,0.27502118598882547,0.06869917410667577,0.0,0.0,0.39283,0.4591957629989207,0.5081478342000257
0.15,0.16666666666666666,0.6666666666666666,0.26442871932466777,0.06605363203782466,0.0,0.0,0.44279,0.4800290963322541,0.5081478342000257
0.15,0.16666666666666666,0.7083333333333333,0.25383625266051013,0.06340808996897358,0.0,0.0,0.49717,0.5008624296655874,0.5081478342000257
0.15,0.16666666666666666,0.75,0.2432437859963524,0.060762547900122484,0.0,0.0,0.55579,0.5216957629989207,0.5081478342000257
0.15,0.16666666666666666,0.7916666666666666,0.23265131933219474,0.05811700583127139,0.0,0.0,0.61547,0.5425290963322541,0.5081478342000257
0.15,0.16666666666666666,0.8333333333333333,0.22205885266803707,0.0554714637624203,0.0,0.0,0.6765,0.5633624296655874,0.5081478342000257
0.15,0.16666666666666666,0.875,0.21146638600387938,0.05282592169356921,0.0,0.0,0.73516,0.5841957629989207,0.5081478342000257
0.15,0.16666666666666666,0.9166666666666666,0.20087391933972168,0.050180379624718115,0.0,0.0,0.79076,0.6050290963322541,0.5081478342000257
0.15,0.16666666666666666,0.9583333333333333,0.19028145267556407,0.047534837555867036,0.0,0.0,0.83952,0.6258624296655874,0.5081478342000257
0.15,0.16666666666666666,1.0,0.17968898601140634,0.04488929548701594,0.0,0.0,0.88145,0.6466957629989207,0.5081478342000257
0.15,0.20833333333333331,0.0,0.4320015419516423,0.10790610756704894,0.03578,3e-05,0.0596,0.15044576299892076,0.5081478342000257
0.15,0.20833333333333331,0.041666666666666664,0.4214090752874846,0.10526056549819783,0.02622,0.0,0.06739,0.17127909633225408,0.5081478342000257
0.15,0.20833333333333331,0.08333333333333333,0.4108166086233269,0.10261502342934672,0.01829,0.0,0.07659,0.19211242966558742,0.5081478342000257
0.15,0.20833333333333331,0.125,0.4002241419591692,0.09996948136049566,0.01226,0.0,0.0867,0.21294576299892076,0.5081478342000257
0.15,0.20833333333333331,0.16666666666666666,0.3896316752950115,0.09732393929164457,0.00747,0.0,0.09771,0.23377909633225408,0.5081478342000257
0.15,0.20833333333333331,0.20833333333333331,0.37903920863085383,0.09467839722279346,0.00452,0.0,0.11108,0.2546124296655874,0.5081478342000257
0.15,0.20833333333333331,0.25,0.36844674196669613,0.09203285515394237,0.0026,0.0,0.12657,0.27544576299892076,0.5081478342000257
0.15,0.20833333333333331,0.29166666666666663,0.35785427530253844,0.08938731308509128,0.00152,0.0,0.14372,0.296279096332254,0.5081478342000257
0.15,0.20833333333333331,0.3333333333333333,0.34726180863838085,0.0867417710162402,0.00073,0.0,0.16295,0.3171124296655874,0.5081478342000257
