variable,value,outcome,fraction
phenomenological_caution,0.375,EXCAVATE,0.0
phenomenological_caution,0.41666666666666663,AVOID,0.39111
phenomenological_caution,0.41666666666666663,OBSERVE,0.59168
phenomenological_caution,0.41666666666666663,PRESERVE,0.01721
phenomenological_caution,0.41666666666666663,INVESTIGATE,0.0
phenomenological_caution,0.41666666666666663,EXCAVATE,0.0
phenomenological_caution,0.4583333333333333,AVOID,0.44112
phenomenological_caution,0.4583333333333333,OBSERVE,0.54908
phenomenological_caution,0.4583333333333333,PRESERVE,0.0098
phenomenological_caution,0.4583333333333333,INVESTIGATE,0.0
phenomenological_caution,0.4583333333333333,EXCAVATE,0.0
phenomenological_caution,0.5,AVOID,0.49514
phenomenological_caution,0.5,OBSERVE,0.49969
phenomenological_caution,0.5,PRESERVE,0.00517
phenomenological_caution,0.5,INVESTIGATE,0.0
phenomenological_caution,0.5,EXCAVATE,0.0
phenomenological_caution,0.5416666666666666,AVOID,0.55386
phenomenological_caution,0.5416666666666666,OBSERVE,0.4435
phenomenological_caution,0.5416666666666666,PRESERVE,0.00264
phenomenological_caution,0.5416666666666666,INVESTIGATE,0.0
phenomenological_caution,0.5416666666666666,EXCAVATE,0.0
phenomenological_caution,0.5833333333333333,AVOID,0.61328
phenomenological_caution,0.5833333333333333,OBSERVE,0.38554
phenomenological_caution,0.5833333333333333,PRESERVE,0.00118
phenomenological_caution,0.5833333333333333,INVESTIGATE,0.0
phenomenological_caution,0.5833333333333333,EXCAVATE,0.0
phenomenological_caution,0.625,AVOID,0.67456
phenomenological_caution,0.625,OBSERVE,0.32501
phenomenological_caution,0.625,PRESERVE,0.00043
phenomenological_caution,0.625,INVESTIGATE,0.0
phenomenological_caution,0.625,EXCAVATE,0.0
phenomenological_caution,0.6666666666666666,AVOID,0.73345
phenomenological_caution,0.6666666666666666,OBSERVE,0.26647
phenomenological_caution,0.6666666666666666,PRESERVE,8e-05
phenomenological_caution,0.6666666666666666,INVESTIGATE,0.0
phenomenological_caution,0.6666666666666666,EXCAVATE,0.0
phenomenological_caution,0.7083333333333333,AVOID,0.78899
phenomenological_caution,0.7083333333333333,OBSERVE,0.21101
phenomenological_caution,0.7083333333333333,PRESERVE,0.0
phenomenological_caution,0.7083333333333333,INVESTIGATE,0.0
phenomenological_caution,0.7083333333333333,EXCAVATE,0.0
phenomenological_caution,0.75,AVOID,0.83792
phenomenological_caution,0.75,OBSERVE,0.16208
phenomenological_caution,0.75,PRESERVE,0.0
phenomenological_caution,0.75,INVESTIGATE,0.0
phenomenological_caution,0.75,EXCAVATE,0.0
phenomenological_caution,0.7916666666666666,AVOID,0.88031
phenomenological_caution,0.7916666666666666,OBSERVE,0.11969
phenomenological_caution,0.7916666666666666,PRESERVE,0.0
phenomenological_caution,0.7916666666666666,INVESTIGATE,0.0
phenomenological_caution,0.7916666666666666,EXCAVATE,0.0
phenomenological_caution,0.8333333333333333,AVOID,0.91653
phenomenological_caution,0.8333333333333333,OBSERVE,0.08347
phenomenological_caution,0.8333333333333333,PRESERVE,0.0
phenomenological_caution,0.8333333333333333,INVESTIGATE,0.0
phenomenological_caution,0.8333333333333333,EXCAVATE,0.0
phenomenological_caution,0.875,AVOID,0.94596
phenomenological_caution,0.875,OBSERVE,0.05404
phenomenological_caution,0.875,PRESERVE,0.0
phenomenological_caution,0.875,INVESTIGATE,0.0
phenomenological_caution,0.875,EXCAVATE,0.0
phenomenological_caution,0.9166666666666666,AVOID,0.96795
phenomenological_caution,0.9166666666666666,OBSERVE,0.03205
phenomenological_caution,0.9166666666666666,PRESERVE,0.0
phenomenological_caution,0.9166666666666666,INVESTIGATE,0.0
phenomenological_caution,0.9166666666666666,EXCAVATE,0.0
phenomenological_caution,0.9583333333333333,AVOID,0.98362
phenomenological_caution,0.9583333333333333,OBSERVE,0.01638
phenomenological_caution,0.9583333333333333,PRESERVE,0.0
phenomenological_caution,0.9583333333333333,INVESTIGATE,0.0
phenomenological_caution,0.9583333333333333,EXCAVATE,0.0
phenomenological_caution,1.0,AVOID,0.99314
phenomenological_caution,1.0,OBSERVE,0.00686
phenomenological_caution,1.0,PRESERVE,0.0
phenomenological_caution,1.0,INVESTIGATE,0.0
phenomenological_caution,1.0,EXCAVATE,0.0
interpretive_capacity,0.0,AVOID,0.26596
interpretive_capacity,0.0,OBSERVE,0.67604
interpretive_capacity,0.0,PRESERVE,0.058
interpretive_capacity,0.0,INVESTIGATE,0.0
interpretive_capacity,0.0,EXCAVATE,0.0
interpretive_capacity,0.041666666666666664,AVOID,0.28086
interpretive_capacity,0.041666666666666664,OBSERVE,0.66863
interpretive_capacity,0.041666666666666664,PRESERVE,0.05051
interpretive_capacity,0.041666666666666664,INVESTIGATE,0.0
interpretive_capacity,0.041666666666666664,EXCAVATE,0.0
interpretive_capacity,0.08333333333333333,AVOID,0.2961
interpretive_capacity,0.08333333333333333,OBSERVE,0.66023
interpretive_capacity,0.08333333333333333,PRESERVE,0.04367
interpretive_capacity,0.08333333333333333,INVESTIGATE,0.0
interpretive_capacity,0.08333333333333333,EXCAVATE,0.0
interpretive_capacity,0.125,AVOID,0.31278
interpretive_capacity,0.125,OBSERVE,0.64995
interpretive_capacity,0.125,PRESERVE,0.03727
interpretive_capacity,0.125,INVESTIGATE,0.0
interpretive_capacity,0.125,EXCAVATE,0.0
interpretive_capacity,0.16666666666666666,AVOID,0.33011
interpretive_capacity,0.16666666666666666,OBSERVE,0.63804
interpretive_capacity,0.16666666666666666,PRESERVE,0.03185
interpretive_capacity,0.16666666666666666,INVESTIGATE,0.0
